location_id,connection_count,connectivity_tier,avg_segment_distance,min_segment_distance,max_segment_distance
IND581325AAA,3,medium,34.61741219512195,0.0,83.8095
IND581334AAA,3,medium,20.14713913043478,0.0,30.3082
IND581343AAC,2,low,17.86817857142857,0.0,34.9627
IND581400AAB,3,medium,35.21724833333334,0.0,83.8095
IND581402AAA,3,medium,23.498583870967742,4.082199999999999,32.915099999999995
IND582101AAB,3,medium,21.68490543478261,6.5939,62.0637
IND582209AAA,2,low,22.948913253012048,9.9266,31.2402
IND583101AAA,4,medium,25.431136057692303,3.4724,290.1455
IND583119AAA,2,low,20.62416388888889,4.2748,29.9173
IND583121AAA,1,low,10.83695,6.7735,14.1679
IND583201AAA,4,medium,14.610790229885058,4.0916,28.3052
IND583227AAA,2,low,9.767315873015875,2.186,16.6398
IND583231AAA,2,low,9.48414,2.186,16.6398
IND584101AAA,3,medium,22.324744444444445,0.0,88.9351
IND584123AAA,2,low,9.57655,0.0,26.3858
IND584128AAA,2,low,10.47423,0.0,26.3858
IND585104AAA,6,medium,16.689157714285717,0.0,72.98519999999999
IND585211AAA,2,low,10.46489577464789,0.0,48.5494
IND585222AAA,2,low,9.543014765100672,0.0,25.1133
IND585307AAB,2,low,11.153954260089685,3.4656,72.98519999999999
IND585314AAA,2,low,11.083065,0.2057,25.2137
IND585330AAE,2,low,21.69150196078431,8.288,28.6318
IND585401AAA,2,low,25.88372209302326,8.0124,48.4789
IND586101AAA,2,low,21.964682051282054,0.0,77.5497
IND586101AAB,3,medium,20.295099999999998,1.6236,38.2753
IND586128AAA,2,low,10.752501976284584,1.7279,65.3557
IND586211AAA,2,low,11.392054296875,1.7279,47.2652
IND587103AAB,3,medium,23.281074561403504,0.0,40.3415
IND590016AAA,3,medium,20.405638554216868,2.6965,32.3308
IND591102AAA,2,low,22.4641825,3.4996,30.3555
IND591115AAB,3,medium,20.471710000000005,6.9465,26.9323
IND591123AAC,2,low,25.5390515625,0.0,135.5856
IND591126AAA,1,low,17.545275,3.4996,30.3555
IND591201AAA,3,medium,24.035443902439024,3.5515,33.772800000000004
IND591237AAB,2,low,19.906616,3.5515,26.6863
IND591302AAB,3,medium,24.883113953488376,2.6965,99.7363
IND591304AAA,3,medium,22.558626027397263,0.0,77.5497
IND591307AAC,4,medium,24.73528260869565,8.0154,65.2649
IND600004AAA,1,low,11.69026,9.542,13.2347
IND600008AAA,1,low,8.928885714285714,0.0,14.1708
IND600008AAC,4,medium,9.095157083333334,0.0,45.189800000000005
IND600013AAA,1,low,12.08535,11.6915,12.4792
IND600016AAA,1,low,12.001481250000001,2.5043,22.6823
IND600016AAB,1,low,9.742066666666664,4.1852,13.4536
IND600016AAC,2,low,11.12801612903226,2.769,37.5118
IND600032AAB,4,medium,9.617986490939044,0.0,39.1157
IND600044AAC,3,medium,10.500186637931034,0.0,18.6751
IND600044AAD,6,medium,10.796646728971963,0.0,33.595
IND600044AAE,1,low,15.629600000000002,3.931,34.965900000000005
IND600048AAA,2,low,8.448996296296297,0.0,14.162
IND600056AAA,2,low,8.01872105263158,1.1996,12.4128
IND600056AAB,23,high,23.025137678855323,0.0,2191.4037000000003
IND600056AAD,1,low,13.184675,10.1488,15.8678
IND600073AAA,1,low,7.8443,5.1244,10.5642
IND600076AAB,2,low,10.624156756756758,1.6028,45.1866
IND600083AAA,1,low,13.6142,11.2362,15.9922
IND600110AAA,2,low,13.040889102564103,7.170100000000001,21.1868
IND600116AAB,5,medium,9.451255639097747,0.0,16.644
IND600119AAA,2,low,12.536669642857143,2.5043,24.8912
IND602001AAA,2,low,8.505170000000001,1.8705,12.2545
IND602001AAB,1,low,18.09338181818182,7.9926,25.9791
IND602024AAA,2,low,9.268995652173913,2.571,16.644
IND602105AAB,1,low,7.95752857142857,4.937600000000001,10.9952
IND603001AAA,2,low,10.414509278350515,5.4498,36.7517
IND603102AAA,2,low,23.721656521739128,0.0,51.8052
IND603203AAA,3,medium,9.820647058823528,0.0,14.162
IND603301AAA,2,low,10.09814596273292,4.4559,36.7517
IND604303AAA,2,low,18.357189473684212,0.0,29.801
IND605010AAB,4,medium,24.886336363636364,0.0157,42.557300000000005
IND605601AAA,4,medium,18.395624451410658,0.0,58.3839
IND606003AAA,2,low,9.542486486486489,0.0,33.3271
IND606105AAA,2,low,11.109003921568629,1.208,72.5631
IND606201AAC,2,low,13.220415454545455,0.0,72.5631
IND606801AAB,2,low,19.14329344262295,0.0,43.4079
IND606803AAA,2,low,15.097431578947369,0.0,25.7705
IND607001AAA,2,low,21.93180294117647,13.1572,28.1426
IND607106AAA,2,low,9.401942424242424,0.0,18.2206
IND607801AAA,2,low,9.651827631578948,0.0,33.3271
IND608001AAA,2,low,20.251175862068965,13.1572,28.1426
IND608301AAA,2,low,24.88177075471698,18.0822,31.4462
IND609001AAA,2,low,22.660687931034484,7.9926,45.1542
IND609110AAA,2,low,21.01421304347826,11.8917,30.2592
IND609602AAA,2,low,21.37957407407407,11.8917,30.2592
IND610001AAA,4,medium,17.493668780487805,0.0,47.0257
IND611001AAA,2,low,21.023930434782613,0.0,24.3439
IND613104AAA,1,low,22.63631666666667,0.0,43.1848
IND614018AAA,2,low,24.172045454545454,0.0,45.1542
IND614602AAA,1,low,22.698774999999998,21.9217,23.6799
IND614616AAA,2,low,15.637496774193549,0.0,34.0463
IND614620AAA,2,low,10.187351612903228,0.6727000000000001,39.7202
IND614715AAA,2,low,14.178657843137252,0.2522,42.0769
IND614804AAA,2,low,16.7061847826087,0.9854,24.4385
IND614809AAA,2,low,17.855677443609025,0.0,47.0257
IND620012AAA,2,low,30.762366666666665,22.6467,37.1781
