route_schedule_uuid,num_trips,route_total_distance,route_driving_time,route_start_time,route_end_time,route_shift_duration,route_total_time,route_start_location,route_end_location
thanos::sroute:0d109df7-6236-475b-93c2-42d4cfbc3fd5,6,307.1517,825.0,2018-09-13 09:10:04.932491,2018-09-29 15:07:28.111195,23397.386311733335,23397.386311733335,IND411033AAA,IND411033AAA
thanos::sroute:0d5638a5-ae50-437b-907e-c1750f9d9677,13,198.1682,529.0,2018-09-12 09:58:27.808859,2018-09-29 10:37:47.723399,24519.331909,24519.331909,IND560058AAD,IND562132AAA
thanos::sroute:0d5c2574-805b-4d03-8c6d-97ac5fe3b57a,1,347.4858,541.0,2018-10-04 00:02:23.408574,2018-10-04 14:38:24.600872,876.0198716333333,876.0198716333333,IND415409AAB,IND416122AAA
thanos::sroute:0d8da6be-a96a-482d-847d-20e2103a3e5d,8,847.0434,1929.0,2018-09-12 22:18:06.482394,2018-09-21 06:51:17.413642,12033.182187466668,12033.182187466668,IND742149AAA,IND742101AAC
thanos::sroute:0dc8ae1f-543e-43da-9bba-51692398b7ea,2,145.357,253.0,2018-09-12 15:08:50.997296,2018-09-13 19:32:02.085981,1703.1848114166667,1703.1848114166667,IND000000ACB,IND110092AAC
thanos::sroute:0e816f74-fa31-4e4b-b0ed-c677b16a08eb,12,480.89559999999994,1407.0,2018-09-12 02:21:33.626265,2018-10-03 05:08:54.651804,30407.350425650002,30407.350425650002,IND600056AAB,IND600116AAB
thanos::sroute:0e8d39f4-3593-430a-820e-c65b3f698ad1,15,4664.4111,10091.0,2018-09-12 18:21:44.488960,2018-10-04 03:13:48.765694,30772.071278900003,30772.071278900003,IND712311AAA,IND713205AAB
thanos::sroute:0eb49087-27a5-4382-bd11-f5fd2b4354cf,18,2919.6843,8415.0,2018-09-12 13:08:57.243774,2018-10-04 07:43:55.876666,31354.977214866667,31354.977214866667,IND246444AAB,IND246174AAA
thanos::sroute:0ec9a6de-fbea-44f7-a033-b74452d9ffe7,4,388.00070000000005,790.0,2018-09-12 23:48:09.476536,2018-09-17 17:06:03.777040,6797.9050084,6797.9050084,IND686028AAB,IND686028AAB
thanos::sroute:0eec0365-99bf-4f29-819b-9d669c793b5e,16,1202.2389,2795.0,2018-09-13 03:44:45.827848,2018-10-03 10:07:58.761477,29183.215560483335,29183.215560483335,IND248197AAA,IND248001AAA
thanos::sroute:0efee837-c950-4bcd-84d6-09a66edd5e07,6,264.8501,446.0,2018-09-18 04:11:24.188533,2018-10-02 06:50:25.028332,20319.01399665,20319.01399665,IND000000ACT,IND000000ACB
thanos::sroute:0f0eca7d-26f1-4397-9673-7e2052ca605e,21,5147.757,6350.0,2018-09-12 17:36:57.597985,2018-10-04 07:48:49.038771,31091.857346433335,31091.857346433335,IND382430AAB,IND457661AAA
thanos::sroute:0f170f3c-ef98-47ea-ac24-81ca2efa336c,8,1087.1892,1635.0,2018-09-12 19:53:37.867572,2018-09-27 00:59:10.350693,20465.54138535,20465.54138535,IND400072AAB,IND411033AAA
thanos::sroute:0f3e8155-faf5-47c2-bb13-e2f140310474,14,513.9168,940.0,2018-09-12 02:32:26.036482,2018-09-29 07:23:29.966277,24771.065496583335,24771.065496583335,IND160002AAC,IND160102AAC
thanos::sroute:0f511873-835e-4cdb-a346-da30d8d545e5,13,2434.5831,5360.0,2018-09-12 01:06:18.495090,2018-09-24 05:48:34.087104,17562.2598669,17562.2598669,IND585104AAA,IND585211AAA
thanos::sroute:0f5c3b4b-5c1c-4a8f-abd4-98fcadbdad2d,17,5168.1068000000005,6364.0,2018-09-12 22:43:48.061274,2018-10-02 08:35:20.982231,27951.548682616667,27951.548682616667,IND302014AAB,IND302014AAB
thanos::sroute:0f827ccb-269b-483b-9ce1-24e3470a22ed,11,364.3712,966.0,2018-09-12 03:50:58.032308,2018-10-03 07:00:39.179633,30429.68578875,30429.68578875,IND560099AAB,IND560043AAC
thanos::sroute:0f98b6b0-97bf-4699-b705-a31cda813294,16,753.3974000000001,1215.0,2018-09-13 22:14:19.864271,2018-10-04 03:12:24.015793,29098.069192033334,29098.069192033334,IND421302AAG,IND400015AAB
thanos::sroute:0fbad078-8c7c-4ab3-9791-898cdafce4e3,7,129.0957,561.0,2018-09-18 02:20:48.831111,2018-10-03 04:37:40.300754,21736.857827383334,21736.857827383334,IND560058AAD,IND562132AAA
thanos::sroute:0fc06b08-acf0-4d1d-95da-96b95d556c22,3,400.01230000000004,2205.0,2018-09-27 13:11:57.840326,2018-10-03 02:45:42.483774,8013.744057466667,8013.744057466667,IND221313AAA,IND232104AAB
thanos::sroute:0fe10045-cf65-4c70-8115-4e4cf80124af,13,1876.6774,3302.0,2018-09-20 06:17:36.456909,2018-10-04 07:03:17.277834,20205.680348749996,20205.680348749996,IND504215AAA,IND505001AAB
thanos::sroute:10001c4b-edad-47e1-9c5b-caca93ba3a1f,12,1729.3765,2279.0,2018-09-14 09:39:12.616675,2018-09-26 15:23:29.832646,17624.286932850002,17624.286932850002,IND000000ACB,IND131028AAB
thanos::sroute:1037336f-7631-4da7-8f81-a399afd9f959,5,312.352,623.0,2018-09-12 19:19:17.145419,2018-10-01 22:08:48.353432,27529.52013355,27529.52013355,IND560300AAA,IND560099AAB
thanos::sroute:10450e8c-3ee9-4818-9517-491197abe5c8,9,801.6283,1817.0,2018-09-12 21:00:02.701191,2018-09-23 01:58:17.446855,14698.245761066668,14698.245761066668,IND841424AAA,IND841428AAA
thanos::sroute:10475d85-2efb-4a42-9cd8-21143091f55d,6,3358.4022,4507.0,2018-09-28 18:45:23.997191,2018-10-04 19:05:17.438803,8659.890693533333,8659.890693533333,IND382430AAB,IND302014AAA
thanos::sroute:105d3425-e2d7-4f05-ad0c-157dc9410864,5,10787.623599999999,13405.0,2018-09-29 19:45:53.262665,2018-10-07 00:50:44.569308,10384.855110716666,10384.855110716666,IND562132AAA,IND160002AAC
thanos::sroute:108a8880-49de-4128-ade2-6a0040d7338b,15,1483.1659,3466.0,2018-09-12 20:01:23.957887,2018-09-27 06:53:03.660175,20811.661704799997,20811.661704799997,IND788026AAC,IND788713AAA
thanos::sroute:10cfb5a1-badd-4e88-a3bc-f7f5a2fd82bc,4,1737.3584,3244.0,2018-09-21 07:25:47.778103,2018-09-27 04:08:42.677099,8442.914983266666,8442.914983266666,IND712311AAA,IND712311AAA
thanos::sroute:10e4e011-4125-4fe3-bece-905c7cdbae94,14,413.67269999999996,1362.0,2018-09-12 06:20:39.488620,2018-10-03 10:17:22.893577,30476.72341595,30476.72341595,IND560048AAB,IND560099AAB
thanos::sroute:10f4477e-356d-4f01-bb23-3a1fc24b7811,17,3659.1283,5688.0,2018-09-13 20:47:18.477831,2018-10-04 06:43:54.609238,29396.602190116664,29396.602190116664,IND625008AAA,IND625008AAA
thanos::sroute:11448700-b0d6-4009-afa6-79d2b56f51bb,1,13.2347,33.0,2018-09-23 00:17:12.373807,2018-09-23 03:10:49.956618,173.62638018333334,173.62638018333334,IND600008AAC,IND600004AAA
thanos::sroute:116e57b1-7539-4782-ac56-bd293624a396,6,883.5772999999999,2013.0,2018-09-21 11:50:10.367801,2018-09-27 05:30:06.138490,8259.929511483333,8259.929511483333,IND683511AAA,IND683511AAA
thanos::sroute:11781353-a795-4aef-9bf8-ae07ecbc2b6f,2,315.4194,1075.0,2018-09-19 07:07:46.115318,2018-09-19 22:46:59.517862,939.2233757333332,939.2233757333332,IND424006AAA,IND452001AAC
thanos::sroute:1239288c-5d45-4f2a-b80a-cc12b8b099f8,12,505.0141,969.0,2018-09-19 03:15:36.979387,2018-10-03 04:39:00.200138,20243.38701251667,20243.38701251667,IND733140AAA,IND733102AAA
thanos::sroute:1251d62d-57a0-480f-9583-598e00e7a6cf,15,2075.5233,7240.0,2018-09-12 22:38:47.498716,2018-10-03 03:19:09.517381,29080.36697775,29080.36697775,IND160002AAC,IND147105AAA
thanos::sroute:125af0fb-2b03-48c4-8a60-2945b4aba1c5,20,581.5277,2140.0,2018-09-12 18:49:17.145616,2018-10-04 05:00:12.752271,30850.926777583332,30850.926777583332,IND431136AAC,IND431136AAC
thanos::sroute:1283977c-889a-4e96-b632-5ba1a69427a1,11,415.6497,769.0,2018-09-15 17:23:08.808845,2018-10-01 19:32:50.769616,23169.699346183334,23169.699346183334,IND600056AAB,IND600032AAB
thanos::sroute:12b82c0f-c414-4275-8eff-cd6ef3dd9a20,4,687.9763,3042.0,2018-09-28 03:40:07.267558,2018-10-04 10:07:45.091309,9027.63039585,9027.63039585,IND276128AAA,IND222001AAA
thanos::sroute:12d71f58-4272-434c-bb34-f8f9111de7ac,1,33.3181,157.0,2018-09-24 02:40:39.554630,2018-09-24 05:28:28.152052,167.80995703333335,167.80995703333335,IND400102AAC,IND421302AAG
thanos::sroute:13140865-962a-41fa-a28d-aa85e3270ef5,6,266.845,656.0,2018-09-14 00:02:34.996702,2018-09-24 10:31:59.123031,15029.402105483334,15029.402105483334,IND600116AAB,IND600116AAB
thanos::sroute:1357db5a-d24f-4d30-93b4-fc2a20bd6180,2,23.264400000000002,70.0,2018-09-13 06:57:42.942071,2018-09-14 07:54:46.599484,1497.0609568833331,1497.0609568833331,IND110085AAB,IND110087AAA
