source_center,destination_center,median,count,std
IND246761AAA,IND244901AAB,121.4819,1,
IND247554AAA,IND131028AAB,337.91995000000003,2,1.0878837828555028
IND247554AAA,IND248001AAA,105.0465,1,
IND247776AAA,IND131028AAB,94.3437,1,
IND247776AAA,IND251309AAB,24.4696,1,
IND248001AAA,IND131028AAB,234.0605,2,0.6297492993247437
IND248001AAD,IND131028AAB,231.54715,6,2.0917622815861914
IND248197AAA,IND248001AAA,78.1522,15,9.638510493046702
IND248197AAA,IND248122AAB,56.7201,1,
IND249201AAA,IND131028AAB,198.26475,4,1.172036743949041
IND249201AAA,IND246174AAA,110.8864,1,
IND249407AAA,IND246149AAA,76.9647,3,1.5687083136559576
IND250002AAA,IND131028AAB,80.27260000000001,3,1.2060614426028715
IND250611AAA,IND131028AAB,131.662,8,13.387816679827916
IND250611AAA,IND247776AAA,40.4803,1,
IND250611AAA,IND251309AAB,61.6555,1,
IND251001AAA,IND248001AAA,131.29514999999998,2,0.26028600615477704
IND251201AAA,IND131028AAB,108.0489,1,
IND261001AAA,IND262723AAB,192.2394,1,
IND261201AAB,IND262723AAB,258.0129,19,11.975927426172836
IND262405AAA,IND263153AAB,41.5601,2,0.32597622612699734
IND262802AAA,IND262723AAB,93.0841,1,
IND263002AAA,IND263153AAB,229.6448,1,
IND263153AAB,IND131028AAB,294.6018,1,
IND263153AAB,IND244713AAA,65.16810000000001,1,
IND263153AAB,IND262501AAA,302.29835,2,10.937032716646682
IND263153AAB,IND263002AAA,78.4921,1,
IND263153AAB,IND263139AAA,32.748,1,
IND263153AAB,IND263401AAA,134.51639999999998,2,0.33516861428244626
IND263153AAB,IND263601AAA,192.9097,3,1.8714152835042652
IND263601AAA,IND262501AAA,112.9738,1,
IND263601AAA,IND263645AAA,52.5184,1,
IND271001AAA,IND271201AAA,42.1421,1,
IND271001AAA,IND271210AAA,70.6945,1,
IND271201AAA,IND271001AAA,97.0926,2,0.49257058377455665
IND271210AAA,IND271001AAA,66.9905,6,0.7893365325807923
IND272001AAA,IND209304AAA,597.5087,1,
IND272001AAA,IND272175AAA,32.6592,1,
IND272001AAA,IND273014AAB,135.3068,2,3.0692676944183246
IND272155AAA,IND209304AAA,614.9376,1,
IND272155AAA,IND272175AAA,71.65979999999999,1,
IND272155AAA,IND273014AAB,166.9035,1,
IND272207AAB,IND272153AAC,22.9428,3,0.8761074211153158
IND273014AAB,IND209304AAA,482.7246,1,
IND273014AAB,IND273155AAA,45.733,1,
